CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
9,50.0,3,1.0,2.0,4.0,13.0,13.0,4811.183999999999
9,50.0,4,1.0,2.0,4.0,13.0,13.0,1374.624
9,50.0,5,1.0,2.0,4.0,13.0,13.0,2061.936
9,50.0,6,1.0,2.0,4.0,13.0,13.0,3436.56
9,50.0,7,1.0,2.0,4.0,13.0,13.0,2405.592
9,50.0,8,1.0,2.0,4.0,13.0,13.0,687.312
9,70.0,5,1.0,3.0,1.0,1.0,1.0,84.69685714285714
9,70.0,6,1.0,3.0,1.0,1.0,1.0,169.39371428571428
9,70.0,7,1.0,3.0,1.0,1.0,1.0,592.8779999999999
9,70.0,8,1.0,3.0,1.0,1.0,1.0,677.5748571428571
9,70.0,9,1.0,3.0,1.0,1.0,1.0,931.6654285714284
9,70.0,10,1.0,3.0,1.0,1.0,1.0,846.9685714285713
9,70.0,11,1.0,3.0,1.0,1.0,1.0,762.2717142857142
9,70.0,12,1.0,3.0,1.0,1.0,1.0,677.5748571428571
9,70.0,13,1.0,3.0,1.0,1.0,1.0,592.8779999999999
9,70.0,14,1.0,3.0,1.0,1.0,1.0,592.8779999999999
9,70.0,15,1.0,3.0,1.0,1.0,1.0,423.4842857142857
9,70.0,16,1.0,3.0,1.0,1.0,1.0,423.4842857142857
9,70.0,17,1.0,3.0,1.0,1.0,1.0,508.1811428571429
9,70.0,18,1.0,3.0,1.0,1.0,1.0,254.09057142857145
9,70.0,19,1.0,3.0,1.0,1.0,1.0,254.09057142857145
9,70.0,20,1.0,3.0,1.0,1.0,1.0,169.39371428571428
9,70.0,21,1.0,3.0,1.0,1.0,1.0,169.39371428571428
9,70.0,22,1.0,3.0,1.0,1.0,1.0,84.69685714285714
9,70.0,23,1.0,3.0,1.0,1.0,1.0,84.69685714285714
9,70.0,24,1.0,3.0,1.0,1.0,1.0,84.69685714285714
9,70.0,25,1.0,3.0,1.0,1.0,1.0,84.69685714285714
9,80.0,5,1.0,3.0,1.0,14.0,1.0,84.69685714285714
9,80.0,6,1.0,3.0,1.0,14.0,1.0,169.39371428571428
9,80.0,7,1.0,3.0,1.0,14.0,1.0,592.8779999999999
9,80.0,8,1.0,3.0,1.0,14.0,1.0,677.5748571428571
9,80.0,9,1.0,3.0,1.0,14.0,1.0,931.6654285714284
9,80.0,10,1.0,3.0,1.0,14.0,1.0,846.9685714285713
9,80.0,11,1.0,3.0,1.0,14.0,1.0,762.2717142857142
9,80.0,12,1.0,3.0,1.0,14.0,1.0,677.5748571428571
9,80.0,13,1.0,3.0,1.0,14.0,1.0,592.8779999999999
9,80.0,14,1.0,3.0,1.0,14.0,1.0,592.8779999999999
9,80.0,15,1.0,3.0,1.0,14.0,1.0,423.4842857142857
9,80.0,16,1.0,3.0,1.0,14.0,1.0,423.4842857142857
9,80.0,17,1.0,3.0,1.0,14.0,1.0,508.1811428571429
9,80.0,18,1.0,3.0,1.0,14.0,1.0,254.09057142857145
9,80.0,19,1.0,3.0,1.0,14.0,1.0,254.09057142857145
9,80.0,20,1.0,3.0,1.0,14.0,1.0,169.39371428571428
9,80.0,21,1.0,3.0,1.0,14.0,1.0,169.39371428571428
9,80.0,22,1.0,3.0,1.0,14.0,1.0,84.69685714285714
9,80.0,23,1.0,3.0,1.0,14.0,1.0,84.69685714285714
9,80.0,24,1.0,3.0,1.0,14.0,1.0,84.69685714285714
9,80.0,25,1.0,3.0,1.0,14.0,1.0,84.69685714285714
9,81.0,5,1.0,3.0,1.0,15.0,1.0,84.69685714285714
9,81.0,6,1.0,3.0,1.0,15.0,1.0,169.39371428571428
9,81.0,7,1.0,3.0,1.0,15.0,1.0,592.8779999999999
9,81.0,8,1.0,3.0,1.0,15.0,1.0,677.5748571428571
