CountryID,TransTypeID,VehTypeID,MassCatID,NumNewVeh
9,1,3,1,0.001
9,1,3,2,0.001
9,1,3,3,0.001
9,1,4,11,0.001
9,1,4,13,0.001
9,1,4,12,0.001
9,1,2,4,0.001
9,1,6,31,0.001
9,1,6,32,0.001
9,1,6,33,0.001
9,1,6,34,0.001
9,1,8,41,0.001
9,1,8,42,0.001
9,1,8,43,0.001
9,1,8,44,0.001
9,1,8,45,0.001
9,2,3,11,0.001
9,2,3,21,0.001
9,2,5,11,0.001
9,2,5,21,0.001
9,2,5,22,0.001
9,2,5,23,0.001
9,2,6,32,0.001
9,2,7,51,0.001
9,2,7,52,0.001
9,2,8,42,0.001
9,2,8,43,0.001
9,2,8,44,0.001
